{'0.png': [145.0, 122.0]}
{'1.png': [139.0, 111.5]}
{'2.png': [96.5, 93.5]}
{'3.png': [93.0, 84.0]}
{'4.png': [82.0, 88.5]}
{'5.png': [75.0, 104.0]}
{'6.png': [73.0, 125.5]}
{'7.png': [83.5, 152.0]}
{'8.png': [104.5, 177.5]}
{'9.png': [134.5, 198.0]}
{'10.png': [156.0, 222.5]}
{'11.png': [152.5, 203.0]}
{'12.png': [165.0, 198.0]}
{'13.png': [100.0, 72.0]}
{'14.png': [181.5, 190.5]}
{'15.png': [193.0, 186.5]}
{'16.png': [196.0, 187.0]}
{'17.png': [192.0, 188.5]}
{'18.png': [190.0, 189.5]}
{'19.png': [195.0, 206.5]}
{'20.png': [188.0, 124.0]}
{'21.png': [220.5, 86.5]}
{'22.png': [219.5, 86.0]}
{'23.png': [154.0, 78.5]}
{'24.png': [103.0, 85.0]}
{'25.png': [89.0, 52.5]}
{'26.png': [49.5, 79.0]}
{'27.png': [57.0, 73.5]}
{'28.png': [67.5, 53.5]}
{'29.png': [84.0, 102.0]}
{'30.png': [122.5, 124.5]}
{'31.png': [130.0, 152.0]}
{'32.png': [98.0, 183.5]}
{'33.png': [39.5, 164.5]}
{'34.png': [28.5, 153.0]}
{'35.png': [112.5, 74.5]}
{'36.png': [38.0, 156.0]}
{'37.png': [52.0, 157.0]}
{'38.png': [62.0, 158.5]}
{'39.png': [79.5, 161.0]}
{'40.png': [92.5, 164.0]}
{'41.png': [107.0, 165.0]}
{'42.png': [96.5, 159.5]}
{'43.png': [66.0, 157.0]}
{'44.png': [42.5, 158.0]}
{'45.png': [66.5, 160.5]}
{'46.png': [121.5, 75.5]}
{'47.png': [88.5, 159.5]}
{'48.png': [92.0, 106.0]}
{'49.png': [94.0, 110.0]}
{'50.png': [96.0, 106.5]}
{'51.png': [150.5, 159.5]}
{'52.png': [112.0, 171.0]}
{'53.png': [90.5, 145.0]}
{'54.png': [86.5, 112.0]}
{'55.png': [99.5, 105.5]}
{'56.png': [124.0, 113.0]}
{'57.png': [151.5, 68.5]}
{'58.png': [150.0, 125.0]}
{'59.png': [170.5, 145.0]}
{'60.png': [156.0, 152.0]}
{'61.png': [103.5, 178.0]}
{'62.png': [55.5, 151.5]}
{'63.png': [65.0, 179.5]}
{'64.png': [65.0, 197.0]}
{'65.png': [44.5, 204.0]}
{'66.png': [31.0, 212.0]}
{'67.png': [37.0, 223.5]}
{'68.png': [172.5, 89.0]}
{'69.png': [38.5, 219.0]}
{'70.png': [39.5, 201.0]}
{'71.png': [39.0, 182.5]}
{'72.png': [36.5, 168.0]}
{'73.png': [43.0, 171.0]}
{'74.png': [55.5, 184.5]}
{'75.png': [47.5, 213.0]}
{'76.png': [32.0, 225.0]}
{'77.png': [22.0, 221.5]}
{'78.png': [21.0, 225.0]}
{'79.png': [172.0, 116.5]}
{'80.png': [25.0, 226.5]}
{'81.png': [103.5, 138.5]}
{'82.png': [103.5, 136.5]}
{'83.png': [14.5, 241.0]}
{'84.png': [102.5, 139.5]}
{'85.png': [91.0, 99.5]}
{'86.png': [88.0, 102.0]}
{'87.png': [82.0, 111.5]}
{'88.png': [82.0, 123.0]}
{'89.png': [79.5, 119.5]}
{'90.png': [168.5, 120.5]}
{'91.png': [79.0, 133.5]}
